writers	width	distribution	ExactMain tx/s	Planned tx/s	ExactMain mutation ops/s	Planned mutation ops/s	ExactMain p50 us	Planned p50 us	ExactMain p95 us	Planned p95 us	ExactMain p99 us	Planned p99 us	ratio planned/main
16	1	uniform	3220	3534	3220	3534	4632	4314	6685	6090	9164	8065	1.0977
16	1	same-leaf-heavy	4097	3851	4097	3851	3540	3564	5584	9682	7575	12236	0.9401
16	1	different-leaf-heavy	3664	4005	3664	4005	4028	3908	6005	4664	8258	6760	1.093
16	16	uniform	469	499	7499	7984	31706	30684	47646	40533	69083	63042	1.0647
16	16	same-leaf-heavy	2016	2149	32263	34377	7312	6830	10220	11178	13562	12596	1.0655
16	16	different-leaf-heavy	1759	1871	28141	29930	8509	7990	11139	11766	14135	14604	1.0636
64	1	uniform	4374	5289	4374	5289	14103	11377	18357	17060	26979	22323	1.2091
64	1	same-leaf-heavy	5846	8116	5846	8116	10278	7348	16226	11547	23828	14263	1.3884
64	1	different-leaf-heavy	5059	6768	5059	6768	11509	8897	17693	13078	27442	15495	1.3378
64	16	uniform	533	612	8520	9795	116599	103147	159714	119823	205993	216045	1.1496
64	16	same-leaf-heavy	2385	2747	38154	43955	25112	21931	34400	31209	52802	40224	1.1521
64	16	different-leaf-heavy	1826	1980	29224	31678	33390	31262	46360	40014	70939	44266	1.084
1	1	uniform	939	1083	939	1083	982	867	1608	1171	2135	1740	control
1	16	uniform	303	280	4842	4477	2928	3272	4366	4483	5570	5598	control
