writers	width	distribution	engine	CPU percent machine	RSS peak MiB	mean group	max group	tx per sync	mean sync us	syncs total	sync time seconds	syncs per second	queue wait us/request	collection us/group	WAL bytes/mutation	page images/mutation	successful tx	errors	overloads	conflicts
16	1	uniform	exact-main	29.04	758.5	15.63	16	15.63	2366.1	3094	7.32	206.09	169.9	113.4	8380.0	2.0	48347	0	0	0
16	1	uniform	planned-blink	22.02	784.8	15.65	16	15.65	2688.3	3390	9.11	225.89	161.3	111.2	8380.0	2.0	53045	0	0	0
16	1	same-leaf-heavy	exact-main	24.56	392.6	15.58	16	15.58	2318.5	3946	9.147	262.98	87.7	32.8	8380.0	2.0	61481	0	0	0
16	1	same-leaf-heavy	planned-blink	12.06	380.9	15.75	16	15.75	3505.9	3671	12.068	244.67	70.4	27.8	8380.0	2.0	57793	0	0	0
16	1	different-leaf-heavy	exact-main	27.22	373.2	15.65	16	15.65	2320.9	3513	8.153	234.12	138.1	88.8	8380.0	2.0	54989	0	0	0
16	1	different-leaf-heavy	planned-blink	17.56	382.7	15.67	16	15.67	2733.7	3835	10.48	255.56	121.0	75.6	8380.0	2.0	60105	0	0	0
16	16	uniform	exact-main	41.52	828.4	15.6	16	15.6	6458.0	453	2.926	30.05	1708.3	1411.6	4416.6	1.062	7066	0	0	0
16	16	uniform	planned-blink	38.02	845.6	15.93	16	15.93	8867.1	471	4.175	31.34	1795.0	1794.0	4416.6	1.062	7501	0	0	0
16	16	same-leaf-heavy	exact-main	36.24	322.3	15.73	16	15.73	2667.6	1924	5.129	128.17	150.9	109.3	783.5	0.188	30271	0	0	0
16	16	same-leaf-heavy	planned-blink	30.57	333.9	15.95	16	15.95	3254.6	2022	6.557	134.69	99.7	100.9	783.5	0.188	32256	0	0	0
16	16	different-leaf-heavy	exact-main	38.6	309.2	15.84	16	15.84	2590.8	1667	4.313	111.04	350.1	260.3	783.5	0.188	26405	0	0	0
16	16	different-leaf-heavy	planned-blink	33.72	320.8	15.97	16	15.97	3196.2	1759	5.622	117.11	294.9	264.3	783.5	0.188	28100	0	0	0
64	1	uniform	exact-main	38.3	842.8	62.36	64	62.36	4424.5	1054	4.664	70.15	686.5	526.0	8380.0	2.0	65725	0	0	0
64	1	uniform	planned-blink	31.45	887.8	63.48	64	63.48	5061.2	1252	6.336	83.33	633.1	587.6	8380.0	2.0	79471	0	0	0
64	1	same-leaf-heavy	exact-main	34.27	491.8	59.79	64	59.79	4381.6	1469	6.437	97.78	462.0	82.9	8380.0	2.0	87838	0	0	0
64	1	same-leaf-heavy	planned-blink	22.68	610.0	62.93	64	62.93	4853.8	1936	9.394	129.0	163.2	65.7	8380.0	2.0	121829	0	0	0
64	1	different-leaf-heavy	exact-main	36.35	454.0	62.27	64	62.27	4344.9	1221	5.297	81.23	456.3	306.9	8380.0	2.0	76052	0	0	0
64	1	different-leaf-heavy	planned-blink	27.26	548.6	63.34	64	63.34	4874.2	1605	7.822	106.87	341.0	284.7	8380.0	2.0	101657	0	0	0
64	16	uniform	exact-main	41.71	896.3	61.59	64	61.59	24090.5	131	3.155	8.65	6813.0	5205.2	4415.6	1.061	8067	0	0	0
64	16	uniform	planned-blink	38.31	943.7	63.21	64	63.21	28863.5	147	4.24	9.69	6801.2	6066.0	4415.4	1.061	9291	0	0	0
64	16	same-leaf-heavy	exact-main	43.02	361.0	62.05	64	62.05	5271.6	578	3.047	38.44	667.9	342.3	783.5	0.188	35861	0	0	0
64	16	same-leaf-heavy	planned-blink	38.04	387.0	62.93	64	62.93	6798.5	657	4.465	43.66	547.3	325.4	783.5	0.188	41346	0	0	0
64	16	different-leaf-heavy	exact-main	44.48	334.1	63.24	64	63.24	5164.2	435	2.246	28.88	2110.4	1564.6	783.5	0.188	27510	0	0	0
64	16	different-leaf-heavy	planned-blink	41.44	355.3	63.17	64	63.17	6974.9	472	3.296	31.35	1846.3	1501.1	783.5	0.188	29814	0	0	0
1	1	uniform	exact-main	12.16	619.2	1.0	1	1.0	857.8	14093	12.066	939.35	10.5	9.2	8380.0	2.0	14093	0	0	0
1	1	uniform	planned-blink	10.49	632.9	1.0	1	1.0	762.8	16258	12.4	1082.64	9.4	8.1	8380.0	2.0	16258	0	0	0
1	16	uniform	exact-main	27.52	720.0	1.0	1	1.0	1631.2	4542	7.405	302.66	25.5	23.4	4416.1	1.062	4542	0	0	0
1	16	uniform	planned-blink	21.68	716.0	1.0	1	1.0	2150.6	4201	9.034	279.86	21.1	19.0	4416.2	1.062	4201	0	0	0
