NAME          PROPERTY              VALUE                  SOURCE
dodbbench/db  type                  filesystem             -
dodbbench/db  creation              Fri Sep 25 10:44 2026  -
dodbbench/db  used                  120K                   -
dodbbench/db  available             148G                   -
dodbbench/db  referenced            120K                   -
dodbbench/db  compressratio         1.00x                  -
dodbbench/db  mounted               yes                    -
dodbbench/db  quota                 none                   default
dodbbench/db  reservation           none                   default
dodbbench/db  recordsize            4K                     local
dodbbench/db  mountpoint            /bench/zfs/db          local
dodbbench/db  sharenfs              off                    default
dodbbench/db  checksum              on                     default
dodbbench/db  compression           off                    local
dodbbench/db  atime                 off                    local
dodbbench/db  devices               on                     default
dodbbench/db  exec                  on                     default
dodbbench/db  setuid                on                     default
dodbbench/db  readonly              off                    default
dodbbench/db  zoned                 off                    default
dodbbench/db  snapdir               hidden                 default
dodbbench/db  aclmode               discard                default
dodbbench/db  aclinherit            restricted             default
dodbbench/db  createtxg             8                      -
dodbbench/db  canmount              on                     default
dodbbench/db  xattr                 on                     default
dodbbench/db  copies                1                      default
dodbbench/db  version               5                      -
dodbbench/db  utf8only              off                    -
dodbbench/db  normalization         none                   -
dodbbench/db  casesensitivity       sensitive              -
dodbbench/db  vscan                 off                    default
dodbbench/db  nbmand                off                    default
dodbbench/db  sharesmb              off                    default
dodbbench/db  refquota              none                   default
dodbbench/db  refreservation        none                   default
dodbbench/db  guid                  10658950924928203213   -
dodbbench/db  primarycache          all                    default
dodbbench/db  secondarycache        all                    default
dodbbench/db  usedbysnapshots       0B                     -
dodbbench/db  usedbydataset         120K                   -
dodbbench/db  usedbychildren        0B                     -
dodbbench/db  usedbyrefreservation  0B                     -
dodbbench/db  logbias               latency                default
dodbbench/db  objsetid              134                    -
dodbbench/db  dedup                 off                    default
dodbbench/db  mlslabel              none                   default
dodbbench/db  sync                  standard               local
dodbbench/db  dnodesize             legacy                 default
dodbbench/db  refcompressratio      1.00x                  -
dodbbench/db  written               120K                   -
dodbbench/db  logicalused           54K                    -
dodbbench/db  logicalreferenced     54K                    -
dodbbench/db  volmode               default                default
dodbbench/db  filesystem_limit      none                   default
dodbbench/db  snapshot_limit        none                   default
dodbbench/db  filesystem_count      none                   default
dodbbench/db  snapshot_count        none                   default
dodbbench/db  snapdev               hidden                 default
dodbbench/db  acltype               off                    default
dodbbench/db  context               none                   default
dodbbench/db  fscontext             none                   default
dodbbench/db  defcontext            none                   default
dodbbench/db  rootcontext           none                   default
dodbbench/db  relatime              on                     default
dodbbench/db  redundant_metadata    all                    default
dodbbench/db  overlay               on                     default
dodbbench/db  encryption            off                    default
dodbbench/db  keylocation           none                   default
dodbbench/db  keyformat             none                   default
dodbbench/db  pbkdf2iters           0                      default
dodbbench/db  special_small_blocks  0                      default
dodbbench/db  prefetch              all                    default
