NAME       PROPERTY              VALUE                  SOURCE
dodbbench  type                  filesystem             -
dodbbench  creation              Fri Sep 25 10:44 2026  -
dodbbench  used                  1.89M                  -
dodbbench  available             148G                   -
dodbbench  referenced            100K                   -
dodbbench  compressratio         1.00x                  -
dodbbench  mounted               yes                    -
dodbbench  quota                 none                   default
dodbbench  reservation           none                   default
dodbbench  recordsize            4K                     local
dodbbench  mountpoint            /bench/zfs             local
dodbbench  sharenfs              off                    default
dodbbench  checksum              on                     default
dodbbench  compression           off                    local
dodbbench  atime                 off                    local
dodbbench  devices               on                     default
dodbbench  exec                  on                     default
dodbbench  setuid                on                     default
dodbbench  readonly              off                    default
dodbbench  zoned                 off                    default
dodbbench  snapdir               hidden                 default
dodbbench  aclmode               discard                default
dodbbench  aclinherit            restricted             default
dodbbench  createtxg             1                      -
dodbbench  canmount              on                     default
dodbbench  xattr                 on                     default
dodbbench  copies                1                      default
dodbbench  version               5                      -
dodbbench  utf8only              off                    -
dodbbench  normalization         none                   -
dodbbench  casesensitivity       sensitive              -
dodbbench  vscan                 off                    default
dodbbench  nbmand                off                    default
dodbbench  sharesmb              off                    default
dodbbench  refquota              none                   default
dodbbench  refreservation        none                   default
dodbbench  guid                  14362150673515623777   -
dodbbench  primarycache          all                    default
dodbbench  secondarycache        all                    default
dodbbench  usedbysnapshots       0B                     -
dodbbench  usedbydataset         100K                   -
dodbbench  usedbychildren        1.79M                  -
dodbbench  usedbyrefreservation  0B                     -
dodbbench  logbias               latency                default
dodbbench  objsetid              54                     -
dodbbench  dedup                 off                    default
dodbbench  mlslabel              none                   default
dodbbench  sync                  standard               local
dodbbench  dnodesize             legacy                 default
dodbbench  refcompressratio      1.00x                  -
dodbbench  written               100K                   -
dodbbench  logicalused           654K                   -
dodbbench  logicalreferenced     42.5K                  -
dodbbench  volmode               default                default
dodbbench  filesystem_limit      none                   default
dodbbench  snapshot_limit        none                   default
dodbbench  filesystem_count      none                   default
dodbbench  snapshot_count        none                   default
dodbbench  snapdev               hidden                 default
dodbbench  acltype               off                    default
dodbbench  context               none                   default
dodbbench  fscontext             none                   default
dodbbench  defcontext            none                   default
dodbbench  rootcontext           none                   default
dodbbench  relatime              on                     default
dodbbench  redundant_metadata    all                    default
dodbbench  overlay               on                     default
dodbbench  encryption            off                    default
dodbbench  keylocation           none                   default
dodbbench  keyformat             none                   default
dodbbench  pbkdf2iters           0                      default
dodbbench  special_small_blocks  0                      default
dodbbench  prefetch              all                    default
