NAME       PROPERTY                       VALUE                          SOURCE
dodbbench  size                           153G                           -
dodbbench  capacity                       0%                             -
dodbbench  altroot                        -                              default
dodbbench  health                         ONLINE                         -
dodbbench  guid                           15928435012812578211           -
dodbbench  version                        -                              default
dodbbench  bootfs                         -                              default
dodbbench  delegation                     on                             default
dodbbench  autoreplace                    off                            default
dodbbench  cachefile                      -                              default
dodbbench  failmode                       wait                           default
dodbbench  listsnapshots                  off                            default
dodbbench  autoexpand                     off                            default
dodbbench  dedupratio                     1.00x                          -
dodbbench  free                           153G                           -
dodbbench  allocated                      1.91M                          -
dodbbench  readonly                       off                            -
dodbbench  ashift                         12                             local
dodbbench  comment                        -                              default
dodbbench  expandsize                     -                              -
dodbbench  freeing                        0                              -
dodbbench  fragmentation                  0%                             -
dodbbench  leaked                         0                              -
dodbbench  multihost                      off                            default
dodbbench  checkpoint                     -                              -
dodbbench  load_guid                      10289990870292088701           -
dodbbench  autotrim                       off                            default
dodbbench  compatibility                  off                            default
dodbbench  bcloneused                     0                              -
dodbbench  bclonesaved                    0                              -
dodbbench  bcloneratio                    1.00x                          -
dodbbench  feature@async_destroy          enabled                        local
dodbbench  feature@empty_bpobj            active                         local
dodbbench  feature@lz4_compress           active                         local
dodbbench  feature@multi_vdev_crash_dump  enabled                        local
dodbbench  feature@spacemap_histogram     active                         local
dodbbench  feature@enabled_txg            active                         local
dodbbench  feature@hole_birth             active                         local
dodbbench  feature@extensible_dataset     active                         local
dodbbench  feature@embedded_data          active                         local
dodbbench  feature@bookmarks              enabled                        local
dodbbench  feature@filesystem_limits      enabled                        local
dodbbench  feature@large_blocks           enabled                        local
dodbbench  feature@large_dnode            enabled                        local
dodbbench  feature@sha512                 enabled                        local
dodbbench  feature@skein                  enabled                        local
dodbbench  feature@edonr                  enabled                        local
dodbbench  feature@userobj_accounting     active                         local
dodbbench  feature@encryption             enabled                        local
dodbbench  feature@project_quota          active                         local
dodbbench  feature@device_removal         enabled                        local
dodbbench  feature@obsolete_counts        enabled                        local
dodbbench  feature@zpool_checkpoint       enabled                        local
dodbbench  feature@spacemap_v2            active                         local
dodbbench  feature@allocation_classes     enabled                        local
dodbbench  feature@resilver_defer         enabled                        local
dodbbench  feature@bookmark_v2            enabled                        local
dodbbench  feature@redaction_bookmarks    enabled                        local
dodbbench  feature@redacted_datasets      enabled                        local
dodbbench  feature@bookmark_written       enabled                        local
dodbbench  feature@log_spacemap           active                         local
dodbbench  feature@livelist               enabled                        local
dodbbench  feature@device_rebuild         enabled                        local
dodbbench  feature@zstd_compress          enabled                        local
dodbbench  feature@draid                  enabled                        local
dodbbench  feature@zilsaxattr             active                         local
dodbbench  feature@head_errlog            active                         local
dodbbench  feature@blake3                 enabled                        local
dodbbench  feature@block_cloning          enabled                        local
dodbbench  feature@vdev_zaps_v2           active                         local
